bitstring,count
000001001101001000001111,1
000000001111010000001110,2
000100101011000000011110,1
000010000111000001101111,1
000000001111100000110001,1
000000000100000000101000,1
000001010010000000001111,1
110000001001100010001000,1
001110000010110011111011,1
000000101101000000001111,10
000111100111000000001001,1
000000001111000100101101,1
010010000111000000001111,3
111010000100010010000001,1
101010100011000000011111,1
000000001111000001011110,1
111001111111011011100100,1
000000001101010010000001,1
010000001110000000011111,1
010000001101000100001110,1
100110001110000010001101,1
000111001010000000011110,1
000000001111000001001111,8
011010000000000000011011,1
000000011110010010110010,1
010000001111000100001111,1
010001001101000011101101,1
000000110111000000101001,1
101110101111010011000101,1
010010100101000000101111,1
000000001111000010111000,1
000000001111000000001111,243
000010110000000000001011,1
100000001111000110110100,1
100100000011000010011111,1
000100001111000000001111,9
000000001111000100000111,2
000110000111000000001101,1
111010000001000011000011,1
001010000111100000001110,1
000110111000000000001111,1
000000001111010000001101,8
001010101000100001001001,1
000000111000000001010111,1
001000001011001111010000,1
000000001101000010000011,1
010110011100010000101101,1
011100011001000000011110,1
101111110000111011000100,1
000001110101000000000101,1
000001101110000000101110,1
010000001011000000101100,1
000101110111010010001111,1
001001001001000010010100,1
001110010100000000001011,1
000100001001000000101011,1
010001001101000000001111,1
000000001111001001101100,1
001000001111000100001111,1
001100011011000000101111,1
001000111100010000001001,1
000000001111000110011010,1
000000001111000000101101,6
000000001110000000001111,9
000000001111010110010001,3
110110010000110000001100,1
000000001111010111000001,1
101011100000000000001111,2
010000001111000011110010,1
011011100110000100000001,1
101011111000011010000101,1
000100111100100010000100,1
100000111111000000011011,1
110001101010000000001111,1
110101000101000001000111,1
110100101011010010101101,1
111111101101010011011011,1
001100101101000000001111,2
001000011001000000001111,1
000100001110010010010110,1
000000001111011010100101,1
001011100001000011000101,1
000000001111000000001011,44
010010001101000000001001,1
111100000011010100001010,1
000000001111100000001011,4
100001011111010000001111,1
100000110010010010001011,1
000000101010000010000101,1
100110100100011000001000,1
001010101001000000001111,1
011110000001011010001001,1
000000010101000000001111,1
010010110100110110000100,1
011000000001000000011010,1
010110011010011010100110,1
001000001101000000001111,3
000000001111000010101111,3
000000010111000000001111,4
000001001111010100001111,1
010110010001000000001110,1
101011010110010001011000,1
000000001111000010100100,2
000000001011000000000100,1
000000011011000000001011,1
000000001111000010000101,2
100110011011001000001111,1
000000110001110000010010,1
000000001111001000101111,1
000010000110011110000000,1
011100100110000001101101,1
110100001110000000001011,1
000010000111000000011111,2
011010010100000000001111,3
100000001111001010100000,1
011011000100000010000011,1
010000001001000000001111,8
110110001010000000001111,1
000110101010001000010000,1
000010001001000000000011,1
